tamanho: 10
Tempo: 25.704490s, Frequência: 129.07Hz, Nota: 3, Amplitude: 311.92
Tempo: 25.727710s, Frequência: 107.56Hz, Nota: 1, Amplitude: 300.26
Tempo: 25.750930s, Frequência: 107.56Hz, Nota: 1, Amplitude: 302.36
Tempo: 25.774150s, Frequência: 107.56Hz, Nota: 1, Amplitude: 202.90
Tempo: 25.797370s, Frequência: 86.05Hz, Nota: 5, Amplitude: 100.45
Tempo: 25.820590s, Frequência: 86.05Hz, Nota: 5, Amplitude: 109.94
Tempo: 25.843810s, Frequência: 86.05Hz, Nota: 5, Amplitude: 98.38

tamanho: 7
Tempo: 26.308209s, Frequência: 301.17Hz, Nota: 4, Amplitude: 212.72
Tempo: 26.331429s, Frequência: 301.17Hz, Nota: 4, Amplitude: 352.30
Tempo: 26.354649s, Frequência: 301.17Hz, Nota: 4, Amplitude: 302.59
Tempo: 26.377868s, Frequência: 301.17Hz, Nota: 4, Amplitude: 185.97
Tempo: 26.401088s, Frequência: 301.17Hz, Nota: 4, Amplitude: 160.42
Tempo: 26.424308s, Frequência: 301.17Hz, Nota: 4, Amplitude: 120.99
Tempo: 26.981587s, Frequência: 279.66Hz, Nota: 3, Amplitude: 100.01

tamanho: 21
Tempo: 27.004807s, Frequência: 279.66Hz, Nota: 3, Amplitude: 195.23
Tempo: 27.028027s, Frequência: 215.12Hz, Nota: 1, Amplitude: 212.94
Tempo: 27.051247s, Frequência: 193.61Hz, Nota: 6, Amplitude: 148.12
Tempo: 27.074467s, Frequência: 129.07Hz, Nota: 3, Amplitude: 247.99
Tempo: 27.097687s, Frequência: 129.07Hz, Nota: 3, Amplitude: 288.80
Tempo: 27.120907s, Frequência: 107.56Hz, Nota: 1, Amplitude: 292.76
Tempo: 27.144127s, Frequência: 107.56Hz, Nota: 1, Amplitude: 260.83
Tempo: 27.167347s, Frequência: 107.56Hz, Nota: 1, Amplitude: 148.24
Tempo: 27.190567s, Frequência: 86.05Hz, Nota: 5, Amplitude: 135.37
Tempo: 27.213787s, Frequência: 86.05Hz, Nota: 5, Amplitude: 153.85
Tempo: 27.237007s, Frequência: 86.05Hz, Nota: 5, Amplitude: 148.57
Tempo: 27.260227s, Frequência: 86.05Hz, Nota: 5, Amplitude: 125.20
Tempo: 27.283447s, Frequência: 86.05Hz, Nota: 5, Amplitude: 103.85
Tempo: 27.306667s, Frequência: 86.05Hz, Nota: 5, Amplitude: 84.21
Tempo: 27.678186s, Frequência: 344.20Hz, Nota: 5, Amplitude: 108.58
Tempo: 27.701406s, Frequência: 322.68Hz, Nota: 5, Amplitude: 292.34
Tempo: 27.724626s, Frequência: 301.17Hz, Nota: 4, Amplitude: 334.39
Tempo: 27.747846s, Frequência: 301.17Hz, Nota: 4, Amplitude: 217.55
Tempo: 27.771066s, Frequência: 301.17Hz, Nota: 4, Amplitude: 152.82
Tempo: 27.794286s, Frequência: 301.17Hz, Nota: 4, Amplitude: 128.67
Tempo: 27.817506s, Frequência: 301.17Hz, Nota: 4, Amplitude: 84.62

tamanho: 11
Tempo: 28.374785s, Frequência: 301.17Hz, Nota: 4, Amplitude: 130.43
Tempo: 28.398005s, Frequência: 215.12Hz, Nota: 1, Amplitude: 188.48
Tempo: 28.421224s, Frequência: 193.61Hz, Nota: 6, Amplitude: 202.11
Tempo: 28.444444s, Frequência: 129.07Hz, Nota: 3, Amplitude: 234.80
Tempo: 28.467664s, Frequência: 129.07Hz, Nota: 3, Amplitude: 339.28
Tempo: 28.490884s, Frequência: 107.56Hz, Nota: 1, Amplitude: 329.29
Tempo: 28.514104s, Frequência: 107.56Hz, Nota: 1, Amplitude: 328.39
Tempo: 28.537324s, Frequência: 86.05Hz, Nota: 5, Amplitude: 201.08
Tempo: 28.560544s, Frequência: 86.05Hz, Nota: 5, Amplitude: 172.95
Tempo: 28.583764s, Frequência: 86.05Hz, Nota: 5, Amplitude: 129.22
Tempo: 28.606984s, Frequência: 86.05Hz, Nota: 5, Amplitude: 90.45

tamanho: 18
Tempo: 29.048163s, Frequência: 344.20Hz, Nota: 5, Amplitude: 105.75
Tempo: 29.071383s, Frequência: 322.68Hz, Nota: 5, Amplitude: 217.51
Tempo: 29.094603s, Frequência: 301.17Hz, Nota: 4, Amplitude: 294.03
Tempo: 29.117823s, Frequência: 301.17Hz, Nota: 4, Amplitude: 241.03
Tempo: 29.141043s, Frequência: 301.17Hz, Nota: 4, Amplitude: 151.46
Tempo: 29.164263s, Frequência: 301.17Hz, Nota: 4, Amplitude: 122.45
Tempo: 29.187483s, Frequência: 301.17Hz, Nota: 4, Amplitude: 84.18
Tempo: 29.744762s, Frequência: 344.20Hz, Nota: 5, Amplitude: 89.60
Tempo: 29.767982s, Frequência: 301.17Hz, Nota: 4, Amplitude: 144.44
Tempo: 29.791202s, Frequência: 215.12Hz, Nota: 1, Amplitude: 193.17
Tempo: 29.814422s, Frequência: 129.07Hz, Nota: 3, Amplitude: 151.77
Tempo: 29.837642s, Frequência: 129.07Hz, Nota: 3, Amplitude: 277.27
Tempo: 29.860862s, Frequência: 129.07Hz, Nota: 3, Amplitude: 299.25
Tempo: 29.884082s, Frequência: 107.56Hz, Nota: 1, Amplitude: 307.67
Tempo: 29.907302s, Frequência: 107.56Hz, Nota: 1, Amplitude: 248.34
Tempo: 29.930522s, Frequência: 86.05Hz, Nota: 5, Amplitude: 127.28
Tempo: 29.953741s, Frequência: 86.05Hz, Nota: 5, Amplitude: 98.38
Tempo: 29.976961s, Frequência: 86.05Hz, Nota: 5, Amplitude: 94.11

tamanho: 8
Tempo: 30.000181s, Frequência: 86.05Hz, Nota: 5, Amplitude: 89.49
